Country,Region,Rank,Score,GDP,Family,Health,Freedom,Corruption,Year
Finland,,1,7.632,1.305,1.53352355957031,0.874,0.681,0.393,2018
Norway,,2,7.594,1.456,1.55112159252167,0.861,0.686,0.34,2018
Denmark,,3,7.555,1.351,1.6105740070343,0.868,0.683,0.408,2018
Iceland,,4,7.495,1.343,1.51691174507141,0.914,0.677,0.138,2018
Switzerland,,5,7.487,1.42,1.5402467250824,0.927,0.66,0.357,2018
Netherlands,,6,7.441,1.361,1.42893922328949,0.878,0.638,0.295,2018
Canada,,7,7.328,1.33,1.48134899139404,0.896,0.653,0.291,2018
New Zealand,,8,7.324,1.268,1.54819512367249,0.876,0.669,0.389,2018
Sweden,,9,7.314,1.355,1.47816216945648,0.913,0.659,0.383,2018
Australia,,10,7.272,1.34,1.51004195213318,0.91,0.647,0.302,2018
United Kingdom,,11,7.19,1.244,1.37628996372223,0.888,0.464,0.082,2018
Austria,,12,7.139,1.341,1.41640365123749,0.891,0.617,0.224,2018
Costa Rica,,13,7.072,1.01,1.4599449634552,0.817,0.632,0.101,2018
Ireland,,14,6.977,1.448,1.41992056369781,0.876,0.614,0.306,2018
Germany,,15,6.965,1.34,1.55823111534119,0.861,0.586,0.28,2018
Belgium,,16,6.927,1.324,1.47252035140991,0.894,0.583,0.24,2018
Luxembourg,,17,6.91,1.576,1.46231269836426,0.896,0.632,0.321,2018
United States,,18,6.886,1.398,1.45758366584778,0.819,0.547,0.133,2018
Israel,,19,6.814,1.301,1.49646008014679,0.883,0.533,0.272,2018
United Arab Emirates,,20,6.774,2.096,1.28402495384216,0.67,0.284,0.273,2018
Czech Republic,,21,6.711,1.233,1.26641023159027,0.854,0.543,0.034,2018
Malta,,22,6.627,1.27,1.43130600452423,0.884,0.645,0.142,2018
France,,23,6.489,1.293,1.43388521671295,0.908,0.52,0.176,2018
Mexico,,24,6.488,1.038,1.44045114517212,0.761,0.479,0.095,2018
Chile,,25,6.476,1.131,1.210862159729,0.808,0.431,0.061,2018
Taiwan,,26,6.441,1.365,1.35381436347961,0.857,0.418,0.078,2018
Panama,,27,6.43,1.112,1.48841166496277,0.759,0.597,0.063,2018
Brazil,,28,6.419,0.986,1.41222786903381,0.675,0.493,0.088,2018
Argentina,,29,6.388,1.073,1.25558519363403,0.744,0.57,0.054,2018
Guatemala,,30,6.382,0.781,1.37319254875183,0.608,0.604,0.071,2018
Uruguay,,31,6.379,1.093,1.38777685165405,0.771,0.625,0.155,2018
Qatar,,32,6.374,1.649,1.42579245567322,0.748,0.654,0.171,2018
Saudi Arabia,,33,6.371,1.379,1.38456535339355,0.633,0.509,0.127,2018
Singapore,,34,6.343,1.529,1.53209090232849,1.008,0.631,0.457,2018
Malaysia,,35,6.322,1.161,1.27429687976837,0.669,0.356,0.059,2018
Spain,,36,6.31,1.251,1.4021829366684,0.965,0.449,0.074,2018
Colombia,,37,6.26,0.96,1.28667759895325,0.635,0.531,0.039,2018
Trinidad & Tobago,,38,6.192,1.223,1.3802285194397,0.564,0.575,0.019,2018
Slovakia,,39,6.173,1.21,1.25969874858856,0.776,0.354,0.014,2018
El Salvador,,40,6.167,0.806,1.50505924224854,0.639,0.461,0.082,2018
Nicaragua,,41,6.141,0.668,1.32311046123505,0.7,0.527,0.128,2018
Poland,,42,6.123,1.176,1.28464603424072,0.781,0.546,0.064,2018
Bahrain,,43,6.105,1.338,1.28721570968628,0.698,0.594,0.123,2018
Uzbekistan,,44,6.096,0.719,1.28616881370544,0.605,0.724,0.259,2018
Kuwait,,45,6.083,1.474,1.18212509155273,0.675,0.554,0.106,2018
Thailand,,46,6.072,1.016,1.44571197032928,0.707,0.637,0.029,2018
Italy,,47,6,1.264,1.54896914958954,0.946,0.281,0.028,2018
